,clust,Total Revenue,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges
0,3,59.65,Q3,No,0.0,1,None,No,0.0,No,DSL,8.0,No,No,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,0.0
1,0,1024.1,Q3,Yes,1.0,8,Offer E,Yes,48.85,Yes,Fiber Optic,17.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,390.8
2,0,1910.88,Q3,No,0.0,18,Offer D,Yes,11.33,Yes,Fiber Optic,52.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,203.94
3,4,2995.07,Q3,Yes,1.0,25,Offer C,Yes,19.76,No,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,494.00000000000006
4,0,3102.36,Q3,Yes,1.0,37,Offer C,Yes,6.33,Yes,Fiber Optic,14.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,234.21
5,0,2235.41,Q3,No,0.0,27,Offer C,Yes,3.33,Yes,Fiber Optic,18.0,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,89.91
6,0,85.73,Q3,Yes,1.0,1,Offer E,Yes,15.28,No,Fiber Optic,30.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,15.28
7,3,2610.25,Q3,Yes,6.0,58,Offer B,No,0.0,No,DSL,24.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,0.0
8,0,1806.75,Q3,No,0.0,15,Offer D,Yes,44.07,Yes,Fiber Optic,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,661.05
9,0,681.2,Q3,No,0.0,7,Offer E,Yes,26.95,No,Fiber Optic,18.0,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,188.65
10,0,1367.79,Q3,No,0.0,11,Offer D,Yes,11.59,No,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,127.49
11,0,1510.9499999999998,Q3,No,0.0,15,Offer D,Yes,29.11,No,Fiber Optic,29.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,436.65
12,3,40.2,Q3,Yes,1.0,1,Offer E,No,0.0,No,DSL,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,0.0
13,3,132.2,Q3,No,0.0,3,Offer E,No,0.0,No,DSL,28.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,41.15,132.2,0.0
14,4,1799.1399999999999,Q3,No,0.0,13,Offer D,Yes,32.68,Yes,Cable,11.0,No,Yes,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,106.9,1364.3,424.84
15,0,1662.08,Q3,No,0.0,16,Offer D,Yes,9.43,No,Fiber Optic,9.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,150.88
16,0,620.79,Q3,No,0.0,8,None,Yes,1.78,No,Fiber Optic,7.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,606.55,14.24
17,0,2453.58,Q3,No,0.0,24,Offer C,Yes,30.87,Yes,Fiber Optic,15.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,740.88
18,0,522.54,Q3,No,0.0,4,Offer E,Yes,31.61,Yes,Fiber Optic,2.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,126.44
19,0,3818.23,Q3,Yes,2.0,32,Offer C,Yes,47.34,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,1514.88
20,4,2617.4500000000003,Q3,Yes,1.0,24,Offer C,Yes,16.1,No,Cable,12.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,386.40000000000003
21,4,5002.42,Q3,No,0.0,54,Offer B,Yes,12.08,Yes,DSL,5.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,652.32
22,0,165.39000000000001,Q3,No,0.0,2,Offer E,Yes,13.17,No,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,26.34
23,3,840.1,Q3,No,0.0,21,None,No,0.0,No,Cable,8.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,41.9,840.1,0.0
24,3,945.1,Q3,No,0.0,27,None,No,0.0,No,Cable,13.0,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,30.75,805.1,0.0
25,2,539.69,Q3,Yes,1.0,11,None,Yes,29.54,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.95,214.75,324.94
26,4,7319.799999999999,Q3,Yes,2.0,55,Offer B,Yes,42.82,Yes,Fiber Optic,27.0,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,2355.1
27,0,261.36,Q3,No,0.0,3,Offer E,Yes,9.22,Yes,Fiber Optic,14.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,27.660000000000004
28,0,130.39,Q3,No,0.0,1,Offer E,Yes,35.09,No,Fiber Optic,17.0,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,35.09
29,3,131.05,Q3,No,0.0,5,Offer E,No,0.0,No,DSL,26.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0
30,0,2837.0,Q3,No,0.0,20,None,Yes,48.73,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,94.1,1782.4,974.5999999999999
31,0,563.6,Q3,Yes,4.0,5,Offer E,Yes,45.76,Yes,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,228.79999999999998
32,3,2118.89,Q3,Yes,2.0,27,None,Yes,7.02,No,Cable,25.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.2,1929.35,189.54
33,0,539.6,Q3,No,0.0,4,None,Yes,48.35,Yes,Cable,24.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.2,346.2,193.4
34,0,131.51,Q3,No,0.0,1,None,Yes,45.81,Yes,Fiber Optic,21.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.7,85.7,45.81
35,4,7981.75,Q3,Yes,3.0,65,Offer B,Yes,18.39,Yes,Fiber Optic,28.0,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,1195.3500000000001
36,4,5670.33,Q3,Yes,3.0,49,Offer B,Yes,22.92,Yes,Fiber Optic,14.0,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,1123.0800000000002
37,4,5312.259999999999,Q3,Yes,1.0,43,Offer B,Yes,14.52,Yes,Fiber Optic,5.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,624.36
38,4,8527.449999999999,Q3,No,0.0,56,Offer B,Yes,48.8,Yes,Fiber Optic,12.0,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,2732.7999999999997
39,4,2005.8500000000001,Q3,Yes,7.0,20,None,Yes,5.31,Yes,Fiber Optic,10.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.55,1899.65,106.19999999999999
40,0,256.44,Q3,No,0.0,2,None,Yes,47.47,Yes,Fiber Optic,19.0,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.5,161.5,94.94
41,2,387.9,Q3,No,0.0,8,None,Yes,27.95,No,None,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,19.65,164.3,223.6
42,3,2580.9,Q3,No,0.0,52,None,No,0.0,No,DSL,18.0,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,49.15,2550.9,0.0
43,3,179.07999999999998,Q3,No,0.0,2,None,Yes,43.99,No,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,87.98
44,4,4022.29,Q3,Yes,1.0,33,None,Yes,27.78,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3105.55,916.74
45,0,4134.55,Q3,No,0.0,30,None,Yes,45.88,Yes,Fiber Optic,19.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,2758.15,1376.4
46,4,2851.6,Q3,No,0.0,20,None,Yes,44.44,Yes,Fiber Optic,13.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,1842.8,888.8
47,4,4983.820000000001,Q3,No,0.0,46,None,Yes,2.37,Yes,Fiber Optic,20.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.0,4874.8,109.02000000000001
48,0,797.72,Q3,Yes,1.0,7,None,Yes,21.91,Yes,Cable,11.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,644.35,153.37
49,0,440.52,Q3,No,0.0,4,None,Yes,36.93,No,Fiber Optic,18.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,292.8,147.72
50,4,7665.200000000001,Q3,No,0.0,55,None,Yes,37.38,Yes,Fiber Optic,7.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100.0,5509.3,2055.9
51,0,1570.9,Q3,Yes,1.0,20,None,Yes,5.37,No,Fiber Optic,24.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1463.5,107.4
52,4,1356.99,Q3,No,0.0,9,None,Yes,48.71,Yes,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,918.6,438.39
53,0,773.25,Q3,No,0.0,10,None,Yes,5.46,No,Fiber Optic,24.0,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,688.65,54.6
54,0,110.47,Q3,No,0.0,1,None,Yes,36.92,Yes,Fiber Optic,6.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,73.55,36.92
55,0,330.75,Q3,No,0.0,3,None,Yes,41.9,Yes,Fiber Optic,11.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,205.05,125.69999999999999
56,0,386.82000000000005,Q3,No,0.0,4,None,Yes,6.68,Yes,Cable,17.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,360.1,26.72
57,4,4244.85,Q3,No,0.0,35,None,Yes,20.83,Yes,Fiber Optic,19.0,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,3395.8,729.05
58,3,138.39000000000001,Q3,No,0.0,2,Offer E,Yes,26.62,No,DSL,11.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,53.24
59,4,924.9100000000001,Q3,No,0.0,8,None,Yes,11.57,No,Fiber Optic,27.0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,832.35,92.56
60,3,1359.7,Q3,Yes,2.0,44,None,No,0.0,No,Cable,28.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1359.7,0.0
61,4,6824.17,Q3,Yes,1.0,62,None,Yes,7.11,Yes,Fiber Optic,16.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,6383.35,440.82
62,0,3751.77,Q3,Yes,1.0,33,None,Yes,33.19,Yes,Cable,15.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2656.5,1095.27
63,0,622.45,Q3,No,0.0,4,Offer E,Yes,49.5,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,198.0
64,0,2180.15,Q3,Yes,1.0,27,None,Yes,10.6,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1893.95,286.2
65,0,1143.0,Q3,No,0.0,8,Offer E,Yes,40.45,Yes,Fiber Optic,29.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,323.6
66,0,351.06,Q3,Yes,1.0,3,Offer E,Yes,25.77,No,Fiber Optic,2.0,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,77.31
67,0,1073.39,Q3,No,0.0,8,Offer E,Yes,42.93,No,Fiber Optic,9.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,343.44
68,0,1424.4399999999998,Q3,No,0.0,14,None,Yes,11.31,No,Fiber Optic,24.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,1266.1,158.34
69,3,526.95,Q3,No,0.0,12,None,No,0.0,No,DSL,10.0,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,526.95,0.0
70,0,1465.1599999999999,Q3,No,0.0,13,None,Yes,40.37,No,Fiber Optic,21.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,940.35,524.81
71,0,1091.26,Q3,No,0.0,11,None,Yes,3.96,No,Fiber Optic,27.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,1047.7,43.56
72,4,2101.51,Q3,Yes,1.0,17,None,Yes,28.18,Yes,Cable,16.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,1622.45,479.06
