,clust,Award?,Balance,Qual_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
0,1,0,28143,0,174,1,0,0,7000
1,1,0,19244,0,215,2,0,0,6968
2,1,0,41354,0,4123,4,0,0,7034
3,1,0,14776,0,500,1,0,0,6952
4,4,1,97752,0,43300,26,2077,4,6935
5,1,0,16420,0,0,0,0,0,6942
6,0,0,84914,0,27482,25,0,0,6994
7,1,1,20856,0,5250,4,250,1,6938
8,2,1,443003,0,1753,43,3850,12,6948
9,0,1,104860,0,28426,28,1150,3,6931
10,1,0,40091,0,7278,10,0,0,6959
11,4,1,96522,0,61105,19,0,0,6924
12,0,0,43382,0,11150,20,0,0,6924
13,1,0,43097,0,3258,6,0,0,6918
14,1,0,17648,0,0,0,0,0,6912
15,0,1,28495,0,49442,15,0,0,6912
16,0,1,51890,0,48963,16,0,0,6910
17,1,1,13958,0,4291,5,0,0,6905
18,0,1,91473,0,27408,17,0,0,6903
19,1,1,23354,0,10447,5,0,0,6896
20,4,1,120576,0,58831,23,250,2,6896
21,0,1,185681,2024,13300,16,1800,9,6896
22,0,0,20584,0,3450,11,3450,11,6884
23,0,0,66275,0,2533,11,150,1,6884
24,0,0,205651,500,4025,21,700,4,7932
25,1,0,20726,0,1375,4,0,0,7924
26,1,0,18521,0,1227,2,1227,2,7917
27,1,0,8828,0,0,0,0,0,7914
28,0,1,59763,0,33772,20,100,1,7907
29,1,1,19221,0,4655,8,500,1,7896
30,0,0,177926,0,20797,13,0,0,7886
31,1,0,10021,0,0,0,0,0,7879
32,4,0,276571,0,42044,23,0,0,7872
33,1,0,18047,0,100,1,0,0,7868
34,1,0,43832,0,0,0,0,0,7865
35,4,1,123759,0,50572,23,2500,5,7865
36,1,1,23193,0,650,4,550,3,7861
37,1,0,68666,0,350,2,350,2,7861
38,0,1,59990,0,27878,17,0,0,7854
39,1,1,2176,0,0,0,0,0,7847
40,1,0,34616,0,1750,4,500,1,7850
41,0,1,10470,0,38094,26,0,0,7840
42,0,1,60313,0,10000,26,3250,9,7829
43,0,1,619393,0,15008,14,0,0,7819
44,0,0,121260,0,18493,18,0,0,7808
45,0,1,288865,967,23600,14,2000,4,6884
46,1,0,92336,0,11214,6,0,0,6884
47,1,1,36924,0,5900,6,300,2,6879
48,0,1,70312,0,34678,24,500,1,6875
49,1,0,17051,0,1150,4,1150,4,6868
50,1,0,108137,0,6368,5,6368,5,6844
51,1,0,1300,0,370,1,0,0,6868
52,4,1,118531,0,44577,38,0,0,6868
53,1,1,121395,0,4970,8,650,2,6889
54,1,0,38348,0,0,0,0,0,6861
55,1,0,14448,0,1625,6,0,0,6856
56,0,0,75971,0,34339,14,0,0,6869
57,1,1,36298,0,3100,5,600,3,6865
58,0,0,38077,0,34024,8,0,0,6837
59,0,1,95118,0,23188,23,2200,7,6865
