,clust,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Referred a Friend_Yes,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_Yes,Multiple Lines_Yes,Internet Service_Yes,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Online Security_Yes,Online Backup_Yes,Device Protection Plan_Yes,Premium Tech Support_Yes,Streaming TV_Yes,Streaming Movies_Yes,Streaming Music_Yes,Unlimited Data_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check
0,1,0.0,0.0,0.0,0.12698412698412698,0.21293532338308457,0.0024059543041772442,0.0,0.00345793348061234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1,0.13333333333333333,0.09859154929577464,0.9771954390878176,0.2698412698412698,0.6208955223880598,0.07090930071543965,0.13607562155447595,0.09055649564766825,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2,1,0.0,0.23943661971830985,0.22664532906581317,0.8253968253968254,0.7681592039800995,0.20006346642049389,0.0710114182697539,0.1706407539902489,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3,0,0.13333333333333333,0.3380281690140845,0.39527905581116224,0.19047619047619047,0.7985074626865671,0.2879875375028848,0.1720096137356989,0.26855292166705985,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4,1,0.13333333333333333,0.5070422535211268,0.126625325065013,0.2222222222222222,0.5796019900497512,0.3287964458804523,0.08155135958104866,0.278242179518585,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,1,0.0,0.36619718309859156,0.0666133226645329,0.2857142857142857,0.5950248756218905,0.24425340410800828,0.0313064460950945,0.1999487496147754,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,1,0.13333333333333333,0.0,0.30566113222644525,0.47619047619047616,0.5194029850746269,0.005960073851834757,0.005320459307452386,0.0058131934747196745,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
7,1,0.8,0.8028169014084507,0.0,0.38095238095238093,0.2691542288557214,0.30376182783291017,0.0,0.23380019348713713,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
8,1,0.0,0.19718309859154928,0.8815763152630526,0.30158730158730157,0.5592039800995026,0.13003692591737828,0.23017602259106018,0.16123687273310175,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
9,1,0.0,0.08450704225352113,0.5391078215643128,0.2857142857142857,0.5791044776119403,0.0559427648280637,0.06568747698631497,0.05958952279569722,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1,0.0,0.14084507042253522,0.23184636927385477,0.4603174603174603,0.763681592039801,0.1271059312254789,0.04439171185255921,0.12159481264823382,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,1,0.0,0.19718309859154928,0.5823164632926585,0.4603174603174603,0.5587064676616916,0.12179783060235402,0.15204048145281965,0.13452345608214508,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
12,1,0.13333333333333333,0.0,0.0,0.19047619047619047,0.218407960199005,0.0024694207246711286,0.0,0.0017014224804057585,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,1,0.0,0.028169014084507043,0.0,0.4444444444444444,0.22786069651741292,0.013085621970920839,0.0,0.01000985497495617,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
14,0,0.0,0.16901408450704225,0.6537307461492298,0.1746031746031746,0.882089552238806,0.15526194322640202,0.14792826781270102,0.16054962087132427,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,1,0.0,0.2112676056338028,0.1886377275455091,0.14285714285714285,0.7582089552238807,0.17221324717285946,0.05253605368510576,0.14817186263542123,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
16,1,0.0,0.09859154929577464,0.035607121424284856,0.1111111111111111,0.5597014925373134,0.06782252480960074,0.004958333804850915,0.05413395315443862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
17,1,0.0,0.323943661971831,0.6175235047009402,0.23809523809523808,0.5756218905472636,0.19546503577198246,0.2579726368917097,0.2196514748032109,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
18,1,0.0,0.04225352112676056,0.6323264652930586,0.031746031746031744,0.7681592039800995,0.04353796445880453,0.044026104373971184,0.045261089104551906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
19,1,0.26666666666666666,0.43661971830985913,0.9469893978795759,0.15873015873015872,0.5636815920398011,0.26362220170782363,0.5274775782508816,0.3428917183215611,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
