,clust,Award?,Balance,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll
0,3,0,28143.0,174.0,1.0,0.0,0.0,7000
1,3,0,19244.0,215.0,2.0,0.0,0.0,6968
2,3,0,41354.0,4123.0,4.0,0.0,0.0,7034
3,3,0,14776.0,500.0,1.0,0.0,0.0,6952
4,0,1,97752.0,43300.0,26.0,777.5,2.5,6935
5,3,0,16420.0,0.0,0.0,0.0,0.0,6942
6,2,0,84914.0,27482.0,25.0,0.0,0.0,6994
7,3,1,20856.0,5250.0,4.0,250.0,1.0,6938
8,5,1,203218.75,1753.0,38.0,777.5,2.5,6948
9,0,1,104860.0,28426.0,28.0,777.5,2.5,6931
10,3,0,40091.0,7278.0,10.0,0.0,0.0,6959
11,2,1,96522.0,57626.25,19.0,0.0,0.0,6924
12,3,0,43382.0,11150.0,20.0,0.0,0.0,6924
13,3,0,43097.0,3258.0,6.0,0.0,0.0,6918
14,3,0,17648.0,0.0,0.0,0.0,0.0,6912
15,2,1,28495.0,49442.0,15.0,0.0,0.0,6912
16,2,1,51890.0,48963.0,16.0,0.0,0.0,6910
17,3,1,13958.0,4291.0,5.0,0.0,0.0,6905
18,2,1,91473.0,27408.0,17.0,0.0,0.0,6903
19,3,1,23354.0,10447.0,5.0,0.0,0.0,6896
20,0,1,120576.0,57626.25,23.0,250.0,2.0,6896
21,5,1,185681.0,13300.0,16.0,777.5,2.5,6896
22,1,0,20584.0,3450.0,11.0,777.5,2.5,6884
23,3,0,66275.0,2533.0,11.0,150.0,1.0,6884
24,5,0,203218.75,4025.0,21.0,700.0,2.5,7932
25,3,0,20726.0,1375.0,4.0,0.0,0.0,7924
26,1,0,18521.0,1227.0,2.0,777.5,2.0,7917
27,3,0,8828.0,0.0,0.0,0.0,0.0,7914
28,3,1,59763.0,33772.0,20.0,100.0,1.0,7907
29,1,1,19221.0,4655.0,8.0,500.0,1.0,7896
30,4,0,177926.0,20797.0,13.0,0.0,0.0,7886
31,3,0,10021.0,0.0,0.0,0.0,0.0,7879
32,2,0,203218.75,42044.0,23.0,0.0,0.0,7872
33,3,0,18047.0,100.0,1.0,0.0,0.0,7868
34,3,0,43832.0,0.0,0.0,0.0,0.0,7865
35,0,1,123759.0,50572.0,23.0,777.5,2.5,7865
36,1,1,23193.0,650.0,4.0,550.0,2.5,7861
37,1,0,68666.0,350.0,2.0,350.0,2.0,7861
38,2,1,59990.0,27878.0,17.0,0.0,0.0,7854
39,3,1,2176.0,0.0,0.0,0.0,0.0,7847
40,1,0,34616.0,1750.0,4.0,500.0,1.0,7850
41,2,1,10470.0,38094.0,26.0,0.0,0.0,7840
42,1,1,60313.0,10000.0,26.0,777.5,2.5,7829
43,4,1,203218.75,15008.0,14.0,0.0,0.0,7819
44,3,0,121260.0,18493.0,18.0,0.0,0.0,7808
45,5,1,203218.75,23600.0,14.0,777.5,2.5,6884
46,3,0,92336.0,11214.0,6.0,0.0,0.0,6884
47,1,1,36924.0,5900.0,6.0,300.0,2.0,6879
48,0,1,70312.0,34678.0,24.0,500.0,1.0,6875
49,1,0,17051.0,1150.0,4.0,777.5,2.5,6868
